No.,Time,Source,Destination,Protocol,Length,Info,Target
63,21.635515,10.0.0.75,216.58.207.35,TCP,66,50593  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,0
64,21.676144,10.0.0.75,216.58.207.35,TCP,66,50594  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,0
65,21.96519,216.58.207.35,10.0.0.75,TCP,66,"443  >  50593 [SYN, ACK] Seq=0 Ack=1 Win=42780 Len=0 MSS=1380 SACK_PERM=1 WS=256",0
66,21.965392,10.0.0.75,216.58.207.35,TCP,54,50593  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0,0
67,21.965832,10.0.0.75,216.58.207.35,TLSv1.2,571,Client Hello,0
68,21.999914,Cisco_c9:70:28,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:5f:86:c9:70:1c  Cost = 0  Port = 0x800c,0
69,22.004185,216.58.207.35,10.0.0.75,TCP,66,"443  >  50594 [SYN, ACK] Seq=0 Ack=1 Win=42780 Len=0 MSS=1380 SACK_PERM=1 WS=256",0
70,22.004387,10.0.0.75,216.58.207.35,TCP,54,50594  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0,0
71,22.135197,10.0.0.75,216.239.38.120,QUIC,229,"Payload (Encrypted), PKN: 8, CID: 6047882625472204203",0
72,22.163681,216.239.38.120,10.0.0.75,QUIC,72,"Payload (Encrypted), PKN: 7",0
73,22.198862,216.239.38.120,10.0.0.75,QUIC,706,"Payload (Encrypted), PKN: 8",0
74,22.198863,216.239.38.120,10.0.0.75,QUIC,236,"Payload (Encrypted), PKN: 9",0
75,22.199607,10.0.0.75,216.239.38.120,QUIC,83,"Payload (Encrypted), PKN: 9, CID: 6047882625472204203",0
76,22.267117,216.58.207.35,10.0.0.75,TCP,66,"[TCP Out-Of-Order] 443  >  50593 [SYN, ACK] Seq=0 Ack=1 Win=42780 Len=0 MSS=1380 SACK_PERM=1 WS=256",1
77,22.267204,10.0.0.75,216.58.207.35,TCP,66,[TCP Dup ACK 66#1] 50593  >  443 [ACK] Seq=518 Ack=1 Win=66048 Len=0 SLE=0 SRE=1,1
78,22.278325,10.0.0.75,216.239.38.120,QUIC,230,"Payload (Encrypted), PKN: 10, CID: 6047882625472204203",0
79,22.298941,216.58.207.35,10.0.0.75,TCP,60,443  >  50593 [ACK] Seq=1 Ack=518 Win=44032 Len=0,0
80,22.298943,216.58.207.35,10.0.0.75,TLSv1.2,210,"Server Hello, Change Cipher Spec, Encrypted Handshake Message",0
81,22.299306,10.0.0.75,216.58.207.35,TLSv1.2,105,"Change Cipher Spec, Encrypted Handshake Message",0
82,22.30421,10.0.0.75,216.58.207.35,TLSv1.2,147,Application Data,0
83,22.304513,10.0.0.75,216.58.207.35,TLSv1.2,284,Application Data,0
84,22.304612,10.0.0.75,216.58.207.35,TLSv1.2,374,Application Data,0
85,22.314926,216.58.207.35,10.0.0.75,TCP,66,"[TCP Out-Of-Order] 443  >  50594 [SYN, ACK] Seq=0 Ack=1 Win=42780 Len=0 MSS=1380 SACK_PERM=1 WS=256",1
86,22.314927,216.239.38.120,10.0.0.75,QUIC,72,"Payload (Encrypted), PKN: 10",0
87,22.314987,10.0.0.75,216.58.207.35,TCP,66,[TCP Dup ACK 70#1] 50594  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0 SLE=0 SRE=1,1
88,22.343973,10.0.0.64,10.0.3.255,NBNS,92,Name query NB NEWTGLOBAL<1c>,0
89,22.346577,216.239.38.120,10.0.0.75,QUIC,533,"Payload (Encrypted), PKN: 11",0
90,22.346578,216.239.38.120,10.0.0.75,QUIC,108,"Payload (Encrypted), PKN: 12",0
91,22.346803,10.0.0.75,216.239.38.120,QUIC,83,"Payload (Encrypted), PKN: 11, CID: 6047882625472204203",0
92,22.464359,10.0.0.75,216.239.38.120,QUIC,231,"Payload (Encrypted), PKN: 12, CID: 6047882625472204203",0
93,22.494742,216.239.38.120,10.0.0.75,QUIC,72,"Payload (Encrypted), PKN: 13",0
94,22.526445,216.239.38.120,10.0.0.75,QUIC,535,"Payload (Encrypted), PKN: 14",0
95,22.526446,216.239.38.120,10.0.0.75,QUIC,182,"Payload (Encrypted), PKN: 15",0
96,22.526761,10.0.0.75,216.239.38.120,QUIC,83,"Payload (Encrypted), PKN: 13, CID: 6047882625472204203",0
97,22.566265,Avaya_7f:80:01,Nortel-autodiscovery,NDP,60,FlatNet Hello,0
98,22.629172,216.58.207.35,10.0.0.75,TLSv1.2,123,Application Data,0
99,22.629619,10.0.0.75,216.58.207.35,TLSv1.2,92,Application Data,0
100,22.633675,216.58.207.35,10.0.0.75,TLSv1.2,92,Application Data,0
101,22.687028,10.0.0.75,216.58.207.35,TCP,54,50593  >  443 [ACK] Seq=1250 Ack=264 Win=65792 Len=0,0
102,23.092555,10.0.0.64,10.0.3.255,NBNS,92,Name query NB NEWTGLOBAL<1c>,0
103,23.22069,111.221.77.166,10.0.0.75,TCP,60,"40009  >  50493 [PSH, ACK] Seq=1 Ack=1 Win=83 Len=3",0
104,23.257233,10.0.0.75,111.221.77.166,TCP,54,50493  >  40009 [ACK] Seq=1 Ack=4 Win=251 Len=0,0
105,23.305371,10.0.0.75,216.239.38.120,QUIC,231,"Payload (Encrypted), PKN: 14, CID: 6047882625472204203",0
106,23.322107,111.221.77.166,10.0.0.75,TCP,69,"40009  >  50493 [PSH, ACK] Seq=4 Ack=1 Win=83 Len=15",0
107,23.322531,10.0.0.75,111.221.77.166,TCP,58,"50493  >  40009 [PSH, ACK] Seq=1 Ack=19 Win=251 Len=4",0
108,23.359537,216.239.38.120,10.0.0.75,QUIC,72,"Payload (Encrypted), PKN: 16",0
109,23.372396,10.0.0.75,216.58.207.35,TCP,642,"[TCP Retransmission] 50593  >  443 [PSH, ACK] Seq=662 Ack=264 Win=65792 Len=588",1
110,23.372739,216.239.38.120,10.0.0.75,QUIC,564,"Payload (Encrypted), PKN: 17",0
111,23.372741,216.239.38.120,10.0.0.75,QUIC,256,"Payload (Encrypted), PKN: 18",0
112,23.37329,10.0.0.75,216.239.38.120,QUIC,83,"Payload (Encrypted), PKN: 15, CID: 6047882625472204203",0
113,23.387024,111.221.77.166,10.0.0.75,TCP,60,40009  >  50493 [ACK] Seq=19 Ack=5 Win=83 Len=0,0
114,23.67942,fe80::25f:86ff:fec9:701c,ff02::1:2,DHCPv6,108,Information-request XID: 0x7d9baf CID: 00030001005f86c9701c ,0
115,23.724145,10.0.0.75,216.239.38.120,QUIC,233,"Payload (Encrypted), PKN: 16, CID: 6047882625472204203",0
116,23.752107,216.239.38.120,10.0.0.75,QUIC,72,"Payload (Encrypted), PKN: 19",0
117,23.785979,216.239.38.120,10.0.0.75,QUIC,404,"Payload (Encrypted), PKN: 20",0
118,23.785981,216.239.38.120,10.0.0.75,QUIC,254,"Payload (Encrypted), PKN: 21",0
119,23.786661,10.0.0.75,216.239.38.120,QUIC,83,"Payload (Encrypted), PKN: 17, CID: 6047882625472204203",0
120,23.911803,10.0.0.75,216.239.38.120,QUIC,234,"Payload (Encrypted), PKN: 18, CID: 6047882625472204203",0
121,23.940589,216.239.38.120,10.0.0.75,QUIC,72,"Payload (Encrypted), PKN: 22",0
122,23.973364,216.239.38.120,10.0.0.75,QUIC,473,"Payload (Encrypted), PKN: 23",0
123,23.973367,216.239.38.120,10.0.0.75,QUIC,192,"Payload (Encrypted), PKN: 24",0
124,23.973874,10.0.0.75,216.239.38.120,QUIC,83,"Payload (Encrypted), PKN: 19, CID: 6047882625472204203",0
125,23.999946,Cisco_c9:70:28,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:5f:86:c9:70:1c  Cost = 0  Port = 0x800c,0
126,24.026551,10.0.0.75,216.239.38.120,QUIC,235,"Payload (Encrypted), PKN: 20, CID: 6047882625472204203",0
127,24.05694,216.239.38.120,10.0.0.75,QUIC,72,"Payload (Encrypted), PKN: 25",0
128,24.073931,10.0.0.75,216.239.38.120,QUIC,81,"Payload (Encrypted), PKN: 21, CID: 6047882625472204203",0
129,24.077365,216.239.38.120,10.0.0.75,QUIC,73,"Payload (Encrypted), PKN: 26",0
130,24.102167,216.239.38.120,10.0.0.75,QUIC,69,"Payload (Encrypted), PKN: 27",0
131,24.102974,10.0.0.75,216.239.38.120,QUIC,83,"Payload (Encrypted), PKN: 22, CID: 6047882625472204203",0
132,24.128311,10.0.0.75,216.239.38.120,QUIC,235,"Payload (Encrypted), PKN: 23, CID: 6047882625472204203",0
133,24.131873,10.0.0.75,157.55.235.175,UDP,192,13540  >  40001 Len=150,0
134,24.155939,216.239.38.120,10.0.0.75,QUIC,72,"Payload (Encrypted), PKN: 28",0
135,24.193492,216.239.38.120,10.0.0.75,QUIC,510,"Payload (Encrypted), PKN: 29",0
136,24.193493,216.239.38.120,10.0.0.75,QUIC,273,"Payload (Encrypted), PKN: 30",0
137,24.194147,10.0.0.75,216.239.38.120,QUIC,83,"Payload (Encrypted), PKN: 24, CID: 6047882625472204203",0
138,24.29438,157.55.235.175,10.0.0.75,UDP,63,40001  >  13540 Len=21,0
139,24.294714,10.0.0.75,216.239.38.120,QUIC,236,"Payload (Encrypted), PKN: 25, CID: 6047882625472204203",0
140,24.323252,216.239.38.120,10.0.0.75,QUIC,72,"Payload (Encrypted), PKN: 31",0
141,24.3524,216.239.38.120,10.0.0.75,QUIC,244,"Payload (Encrypted), PKN: 32",0
142,24.352401,216.239.38.120,10.0.0.75,QUIC,159,"Payload (Encrypted), PKN: 33",0
143,24.353008,10.0.0.75,216.239.38.120,QUIC,83,"Payload (Encrypted), PKN: 26, CID: 6047882625472204203",0
144,24.448566,10.0.0.75,10.0.3.255,DB-LSP-DISC,176,Dropbox LAN sync Discovery Protocol,0
145,24.495655,10.0.0.63,255.255.255.255,DB-LSP-DISC,188,Dropbox LAN sync Discovery Protocol,0
146,24.501216,10.0.0.63,10.0.3.255,DB-LSP-DISC,188,Dropbox LAN sync Discovery Protocol,0
147,24.501217,10.0.0.63,255.255.255.255,DB-LSP-DISC,188,Dropbox LAN sync Discovery Protocol,0
148,24.501553,10.0.0.63,255.255.255.255,DB-LSP-DISC,188,Dropbox LAN sync Discovery Protocol,0
149,24.621702,10.0.0.75,216.239.38.120,QUIC,237,"Payload (Encrypted), PKN: 27, CID: 6047882625472204203",0
150,24.649558,216.239.38.120,10.0.0.75,QUIC,72,"Payload (Encrypted), PKN: 34",0
151,24.681803,216.239.38.120,10.0.0.75,QUIC,222,"Payload (Encrypted), PKN: 35",0
152,24.682865,216.239.38.120,10.0.0.75,QUIC,108,"Payload (Encrypted), PKN: 36",0
153,24.683267,10.0.0.75,216.239.38.120,QUIC,83,"Payload (Encrypted), PKN: 28, CID: 6047882625472204203",0
154,24.746946,10.0.0.75,216.58.207.35,TCP,642,"[TCP Retransmission] 50593  >  443 [PSH, ACK] Seq=662 Ack=264 Win=65792 Len=588",1
155,24.84881,10.0.0.75,216.239.38.120,QUIC,238,"Payload (Encrypted), PKN: 29, CID: 6047882625472204203",0
156,24.876768,216.239.38.120,10.0.0.75,QUIC,72,"Payload (Encrypted), PKN: 37",0
157,24.908908,216.239.38.120,10.0.0.75,QUIC,242,"Payload (Encrypted), PKN: 38",0
158,24.909438,216.239.38.120,10.0.0.75,QUIC,100,"Payload (Encrypted), PKN: 39",0
159,24.909908,10.0.0.75,216.239.38.120,QUIC,83,"Payload (Encrypted), PKN: 30, CID: 6047882625472204203",0
160,25.098999,10.0.0.75,216.239.38.120,QUIC,239,"Payload (Encrypted), PKN: 31, CID: 6047882625472204203",0
161,25.126516,216.239.38.120,10.0.0.75,QUIC,72,"Payload (Encrypted), PKN: 40",0
162,25.161743,216.239.38.120,10.0.0.75,QUIC,224,"Payload (Encrypted), PKN: 41",0
163,25.162578,216.239.38.120,10.0.0.75,QUIC,148,"Payload (Encrypted), PKN: 42",0
164,25.162948,10.0.0.75,216.239.38.120,QUIC,83,"Payload (Encrypted), PKN: 32, CID: 6047882625472204203",0
165,25.238622,10.0.0.75,216.239.38.120,QUIC,239,"Payload (Encrypted), PKN: 33, CID: 6047882625472204203",0
166,25.266412,216.239.38.120,10.0.0.75,QUIC,72,"Payload (Encrypted), PKN: 43",0
167,25.297134,216.239.38.120,10.0.0.75,QUIC,220,"Payload (Encrypted), PKN: 44",0
168,25.297984,216.239.38.120,10.0.0.75,QUIC,183,"Payload (Encrypted), PKN: 45",0
169,25.298325,10.0.0.75,216.239.38.120,QUIC,83,"Payload (Encrypted), PKN: 34, CID: 6047882625472204203",0
170,25.358057,10.0.0.75,216.239.38.120,QUIC,240,"Payload (Encrypted), PKN: 35, CID: 6047882625472204203",0
171,25.386618,216.239.38.120,10.0.0.75,QUIC,72,"Payload (Encrypted), PKN: 46",0
172,25.424215,216.239.38.120,10.0.0.75,QUIC,217,"Payload (Encrypted), PKN: 47",0
173,25.424216,216.239.38.120,10.0.0.75,QUIC,288,"Payload (Encrypted), PKN: 48",0
174,25.424827,10.0.0.75,216.239.38.120,QUIC,83,"Payload (Encrypted), PKN: 36, CID: 6047882625472204203",0
175,25.635706,10.0.0.75,216.239.38.120,QUIC,241,"Payload (Encrypted), PKN: 37, CID: 6047882625472204203",0
176,25.664161,216.239.38.120,10.0.0.75,QUIC,72,"Payload (Encrypted), PKN: 49",0
177,25.698176,216.239.38.120,10.0.0.75,QUIC,240,"Payload (Encrypted), PKN: 50",0
178,25.698177,216.239.38.120,10.0.0.75,QUIC,84,"Payload (Encrypted), PKN: 51",0
179,25.698793,10.0.0.75,216.239.38.120,QUIC,83,"Payload (Encrypted), PKN: 38, CID: 6047882625472204203",0
180,25.886248,10.0.0.75,216.239.38.120,QUIC,242,"Payload (Encrypted), PKN: 39, CID: 6047882625472204203",0
181,25.913683,216.239.38.120,10.0.0.75,QUIC,72,"Payload (Encrypted), PKN: 52",0
182,25.944104,216.239.38.120,10.0.0.75,QUIC,217,"Payload (Encrypted), PKN: 53",0
183,25.944105,216.239.38.120,10.0.0.75,QUIC,70,"Payload (Encrypted), PKN: 54",0
184,25.944733,10.0.0.75,216.239.38.120,QUIC,83,"Payload (Encrypted), PKN: 40, CID: 6047882625472204203",0
185,25.999841,Cisco_c9:70:28,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:5f:86:c9:70:1c  Cost = 0  Port = 0x800c,0
186,26.06305,10.0.0.75,216.239.38.120,QUIC,242,"Payload (Encrypted), PKN: 41, CID: 6047882625472204203",0
187,26.091261,216.239.38.120,10.0.0.75,QUIC,72,"Payload (Encrypted), PKN: 55",0
188,26.136092,216.239.38.120,10.0.0.75,QUIC,217,"Payload (Encrypted), PKN: 56",0
189,26.137007,216.239.38.120,10.0.0.75,QUIC,192,"Payload (Encrypted), PKN: 57",0
190,26.137347,10.0.0.75,216.239.38.120,QUIC,83,"Payload (Encrypted), PKN: 42, CID: 6047882625472204203",0
191,26.242301,10.0.0.75,216.239.38.120,QUIC,243,"Payload (Encrypted), PKN: 43, CID: 6047882625472204203",0
192,26.270568,216.239.38.120,10.0.0.75,QUIC,72,"Payload (Encrypted), PKN: 58",0
193,26.299966,216.239.38.120,10.0.0.75,QUIC,219,"Payload (Encrypted), PKN: 59",0
194,26.299968,216.239.38.120,10.0.0.75,QUIC,306,"Payload (Encrypted), PKN: 60",0
195,26.300627,10.0.0.75,216.239.38.120,QUIC,83,"Payload (Encrypted), PKN: 44, CID: 6047882625472204203",0
196,26.495851,10.0.0.75,216.239.38.120,QUIC,218,"Payload (Encrypted), PKN: 45, CID: 6047882625472204203",0
197,26.49595,10.0.0.75,216.239.38.120,QUIC,66,"Payload (Encrypted), PKN: 46, CID: 6047882625472204203",0
198,26.49709,10.0.0.75,121.242.190.180,DNS,75,Standard query 0x65c2 A play.google.com,0
199,26.498548,216.239.38.120,10.0.0.75,QUIC,75,"Payload (Encrypted), PKN: 61",0
200,26.503664,10.0.0.75,121.242.190.180,DNS,78,Standard query 0x2bc3 A www.newtglobal.com,0
201,26.52886,10.0.0.75,8.8.8.8,DNS,75,Standard query 0x65c2 A play.google.com,0
202,26.531227,8.8.8.8,10.0.0.75,DNS,112,Standard query response 0x65c2 A play.google.com CNAME play.l.google.com A 216.58.197.46,0
203,26.532943,10.0.0.75,8.8.8.8,DNS,78,Standard query 0x2bc3 A www.newtglobal.com,0
204,26.534507,10.0.0.75,216.58.197.46,TCP,66,50595  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,0
205,26.538209,216.239.38.120,10.0.0.75,QUIC,77,"Payload (Encrypted), PKN: 62",0
206,26.53821,216.239.38.120,10.0.0.75,QUIC,60,"Payload (Encrypted), PKN: 63",0
207,26.538211,216.58.197.46,10.0.0.75,TCP,66,"443  >  50595 [SYN, ACK] Seq=0 Ack=1 Win=42780 Len=0 MSS=1380 SACK_PERM=1 WS=256",0
208,26.53835,10.0.0.75,216.58.197.46,TCP,54,50595  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0,0
209,26.53897,10.0.0.75,216.58.197.46,QUIC,1392,"Client Hello, PKN: 1, CID: 12322638674890225192",0
210,26.539246,10.0.0.75,216.239.38.120,QUIC,83,"Payload (Encrypted), PKN: 47, CID: 6047882625472204203",0
211,26.54086,10.0.0.75,216.58.197.46,TLSv1.2,571,Client Hello,0
212,26.544087,216.58.197.46,10.0.0.75,QUIC,1392,"Payload (Encrypted), PKN: 1",0
213,26.544088,216.58.197.46,10.0.0.75,QUIC,73,"Payload (Encrypted), PKN: 2",0
214,26.544088,216.58.197.46,10.0.0.75,TCP,60,443  >  50595 [ACK] Seq=1 Ack=518 Win=44032 Len=0,0
215,26.544778,10.0.0.75,216.58.197.46,QUIC,81,"Payload (Encrypted), PKN: 2, CID: 12322638674890225192",0
216,26.544924,10.0.0.75,216.58.197.46,QUIC,80,"Payload (Encrypted), PKN: 3, CID: 12322638674890225192",0
217,26.545082,216.58.197.46,10.0.0.75,TLSv1.2,210,"Server Hello, Change Cipher Spec, Encrypted Handshake Message",0
218,26.545158,10.0.0.75,216.58.197.46,QUIC,397,"Payload (Encrypted), PKN: 4, CID: 12322638674890225192",0
219,26.545238,10.0.0.75,216.58.197.46,QUIC,637,"Payload (Encrypted), PKN: 5, CID: 12322638674890225192",0
220,26.545418,10.0.0.75,216.58.197.46,TLSv1.2,105,"Change Cipher Spec, Encrypted Handshake Message",0
221,26.550523,216.58.197.46,10.0.0.75,QUIC,72,"Payload (Encrypted), PKN: 3",0
222,26.550524,216.58.197.46,10.0.0.75,TLSv1.2,123,Application Data,0
223,26.550524,216.58.197.46,10.0.0.75,QUIC,75,"Payload (Encrypted), PKN: 4",0
224,26.553213,10.0.0.75,216.58.197.46,TLSv1.2,147,Application Data,0
225,26.553387,10.0.0.75,216.58.197.46,TLSv1.2,92,Application Data,0
226,26.555238,216.58.197.46,10.0.0.75,TLSv1.2,92,Application Data,0
227,26.570671,8.8.8.8,10.0.0.75,DNS,108,Standard query response 0x2bc3 A www.newtglobal.com CNAME newtglobal.com A 166.62.10.139,0
228,26.571411,10.0.0.75,166.62.10.139,TCP,66,50596  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,0
229,26.571562,10.0.0.75,166.62.10.139,TCP,66,50597  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,0
230,26.586573,216.58.197.46,10.0.0.75,QUIC,678,"Payload (Encrypted), PKN: 5",0
231,26.586575,216.58.197.46,10.0.0.75,QUIC,308,"Payload (Encrypted), PKN: 6",0
232,26.586884,10.0.0.75,216.58.197.46,QUIC,86,"Payload (Encrypted), PKN: 6, CID: 12322638674890225192",0
233,26.595678,216.58.197.46,10.0.0.75,TCP,60,443  >  50595 [ACK] Seq=264 Ack=700 Win=44032 Len=0,0
234,26.608089,166.62.10.139,10.0.0.75,TCP,66,"80  >  50596 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=128",0
